source,target,value
accessibility,android-studio,1
accessibility,angular,2
accessibility,c#,1
accessibility,css,8
accessibility,flutter,2
accessibility,heroku,1
accessibility,javascript,5
accessibility,kotlin,2
accessibility,material-ui,1
accessibility,php,1
accessibility,python,2
accessibility,react-native,1
accessibility,seo,1
acid,microservices,1
ajax,angular,1
ajax,c#,11
ajax,css,5
ajax,java,5
ajax,javascript,137
ajax,json,13
ajax,mysql,7
ajax,php,100
ajax,python,17
alchemy,solana,1
alibaba-cloud,authentication,1
alibaba-cloud,json,1
analytics,angular,1
analytics,api,1
analytics,google-analytics,8
analytics,java,1
analytics,javascript,3
analytics,postgresql,1
analytics,python,3
android-studio,api,2
android-studio,css,1
android-studio,firebase,15
android-studio,flutter,52
android-studio,git,2
android-studio,java,102
android-studio,javascript,2
android-studio,json,1
android-studio,linux,1
android-studio,python,3
android-studio,react-native,15
android-studio,ruby,1
android-studio,sqlite,3
android-studio,windows,1
angular,c#,19
angular,css,102
angular,java,19
angular,javascript,325
angular,json,23
angular,mysql,1
angular,php,6
angular,python,6
angular-universal,angular,20
angular-universal,docker,1
angular-universal,firebase,1
angular-universal,seo,2
angular-universal,typescript,1
angular-universal,webpack,1
ansible,azure,2
ansible,azure-devops,2
ansible,deployment,1
ansible,docker,5
ansible,elasticsearch,2
ansible,git,3
ansible,java,1
ansible,jenkins,1
ansible,json,10
ansible,kubernetes,3
ansible,linux,8
ansible,mysql,1
ansible,networking,3
ansible,nginx,1
ansible,postgresql,2
ansible,powershell,2
ansible,python,5
ansible,security,1
ansible,ssh,5
ansible,ubuntu,3
ansible,variables,2
ansible,windows,5
apache,ajax,3
apache,angular,4
apache,azure,1
apache,docker,7
apache,java,6
apache,javascript,4
apache,linux,12
apache,php,54
apache,python,9
apache,ruby,2
apache,windows,2
api,ajax,6
api,angular,20
api,azure,12
api,c#,66
api,css,1
api,docker,3
api,firebase,7
api,flutter,37
api,git,1
api,java,52
api,javascript,118
api,json,58
api,linux,2
api,mongodb,11
api,multithreading,3
api,mysql,4
api,oracle,1
api,php,66
api,postgresql,8
api,powershell,1
api,python,156
api,react-native,15
api,ruby,5
api,typescript,21
api,windows,4
apollo,cors,1
apollo,docker,1
apollo,graphql,26
apollo,javascript,4
apollo,json,1
apollo,jwt,1
apollo,kotlin,4
apollo,npm,1
apollo,react-native,1
apollo,redux,2
apollo,rest,1
apollo,typescript,4
appdynamics,json,1
appdynamics,python,1
architecture,angular,1
architecture,authentication,1
architecture,azure,1
architecture,c#,5
architecture,dart,1
architecture,design-patterns,4
architecture,elasticsearch,2
architecture,firebase,2
architecture,flutter,1
architecture,gitlab,1
architecture,java,1
architecture,javascript,5
architecture,mongodb,1
architecture,python,2
architecture,rest,2
architecture,terraform,1
architecture,testing,1
architecture,typescript,2
architecture,unit-testing,1
architecture,webpack,1
architecture,windows,1
